26268:2025-10-23 17:04:41,409 - core.position_manager - INFO - Trailing stop activated for MLNUSDT
235386:2025-10-23 18:20:39,205 - protection.trailing_stop - INFO - 🗑️  CROSSUSDT: Canceling Protection Manager SL (order_id=9299078, stopPrice=0.1234000) before TS activation
235875:2025-10-23 18:20:48,906 - protection.trailing_stop - INFO - 🗑️  ZRCUSDT: Canceling Protection Manager SL (order_id=9686201, stopPrice=0.0153600) before TS activation
261635:2025-10-23 18:53:34,114 - protection.trailing_stop - INFO - SmartTrailingStopManager initialized with config: TrailingStopConfig(activation_percent=Decimal('1.5'), callback_percent=Decimal('0.5'), use_atr=False, atr_multiplier=Decimal('2.0'), step_activation=False, activation_steps=[{'profit': 1.0, 'distance': 0.5}, {'profit': 2.0, 'distance': 0.3}, {'profit': 3.0, 'distance': 0.2}], breakeven_at=None, time_based_activation=False, min_position_age_minutes=10, accelerate_on_momentum=False, momentum_threshold=Decimal('0.1'))
261636:2025-10-23 18:53:34,114 - protection.trailing_stop - INFO - SmartTrailingStopManager initialized with config: TrailingStopConfig(activation_percent=Decimal('1.5'), callback_percent=Decimal('0.5'), use_atr=False, atr_multiplier=Decimal('2.0'), step_activation=False, activation_steps=[{'profit': 1.0, 'distance': 0.5}, {'profit': 2.0, 'distance': 0.3}, {'profit': 3.0, 'distance': 0.2}], breakeven_at=None, time_based_activation=False, min_position_age_minutes=10, accelerate_on_momentum=False, momentum_threshold=Decimal('0.1'))
262661:2025-10-23 18:54:24,453 - protection.trailing_stop - INFO - ✅ ZRCUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01509000, current_stop=0.01536120, update_count=0
262663:2025-10-23 18:54:24,454 - protection.trailing_stop - INFO - ✅ CROSSUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.12104000, current_stop=0.12339960, update_count=0
262665:2025-10-23 18:54:24,456 - protection.trailing_stop - INFO - ✅ IDOLUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.03843000, current_stop=0.03911700, update_count=0
262667:2025-10-23 18:54:24,457 - protection.trailing_stop - INFO - ✅ ENJUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04353000, current_stop=0.04440060, update_count=0
262669:2025-10-23 18:54:24,458 - protection.trailing_stop - INFO - ✅ IDEXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01924000, current_stop=None, update_count=0
262671:2025-10-23 18:54:24,459 - protection.trailing_stop - INFO - ✅ SOSOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.61410000, lowest_price=N/A, current_stop=None, update_count=0
262673:2025-10-23 18:54:24,460 - protection.trailing_stop - INFO - ✅ DODOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04140000, current_stop=None, update_count=0
262675:2025-10-23 18:54:24,460 - protection.trailing_stop - INFO - ✅ DOGUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.00144800, lowest_price=N/A, current_stop=None, update_count=0
262677:2025-10-23 18:54:24,461 - protection.trailing_stop - INFO - ✅ PYRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.85060000, current_stop=None, update_count=0
262679:2025-10-23 18:54:24,462 - protection.trailing_stop - INFO - ✅ AIOZUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.31380000, lowest_price=N/A, current_stop=None, update_count=0
262681:2025-10-23 18:54:24,463 - protection.trailing_stop - INFO - ✅ SHIB1000USDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.00581800, lowest_price=N/A, current_stop=None, update_count=0
262683:2025-10-23 18:54:24,464 - protection.trailing_stop - INFO - ✅ OKBUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=155.72000000, lowest_price=N/A, current_stop=None, update_count=0
262685:2025-10-23 18:54:24,465 - protection.trailing_stop - INFO - ✅ AGIUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04614000, current_stop=None, update_count=0
262687:2025-10-23 18:54:24,466 - protection.trailing_stop - INFO - ✅ BOBAUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.08299000, current_stop=None, update_count=0
262689:2025-10-23 18:54:24,466 - protection.trailing_stop - INFO - ✅ SAROSUSDT: TS state RESTORED from DB - state=active, activated=True, highest_price=N/A, lowest_price=0.17598000, current_stop=0.18058845, update_count=0
262691:2025-10-23 18:54:24,467 - protection.trailing_stop - INFO - ✅ PRCLUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=0.03884000, lowest_price=N/A, current_stop=None, update_count=0
262693:2025-10-23 18:54:24,468 - protection.trailing_stop - INFO - ✅ POLYXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.08549000, current_stop=0.08719317, update_count=0
262695:2025-10-23 18:54:24,468 - protection.trailing_stop - INFO - ✅ MAVUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.03823000, current_stop=0.03889260, update_count=0
262697:2025-10-23 18:54:24,469 - protection.trailing_stop - INFO - ✅ ASTRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01730800, current_stop=0.01765008, update_count=0
262699:2025-10-23 18:54:24,470 - protection.trailing_stop - INFO - ✅ WOOUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04049000, current_stop=0.04128960, update_count=0
262701:2025-10-23 18:54:24,470 - protection.trailing_stop - INFO - ✅ NAORISUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04859000, current_stop=0.04941900, update_count=0
262703:2025-10-23 18:54:24,471 - protection.trailing_stop - INFO - ✅ ICNTUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.23480000, current_stop=0.23939400, update_count=0
262705:2025-10-23 18:54:24,471 - protection.trailing_stop - INFO - ✅ FORTHUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=2.14400000, current_stop=2.18178000, update_count=0
262707:2025-10-23 18:54:24,472 - protection.trailing_stop - INFO - ✅ KAVAUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.13740000, current_stop=0.13974000, update_count=0
262709:2025-10-23 18:54:24,473 - protection.trailing_stop - INFO - ✅ PUMPBTCUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.04215000, current_stop=0.04272780, update_count=0
262711:2025-10-23 18:54:24,473 - protection.trailing_stop - INFO - ✅ THETAUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.55430000, current_stop=0.56528400, update_count=0
262713:2025-10-23 18:54:24,474 - protection.trailing_stop - INFO - ✅ XVGUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.00556150, current_stop=0.00567079, update_count=0
262715:2025-10-23 18:54:24,474 - protection.trailing_stop - INFO - ✅ CELOUSDT: TS state RESTORED from DB - state=active, activated=True, highest_price=N/A, lowest_price=0.24705000, current_stop=0.24828525, update_count=0
262717:2025-10-23 18:54:24,475 - protection.trailing_stop - INFO - ✅ BABYUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.03102000, current_stop=0.03150780, update_count=0
262719:2025-10-23 18:54:24,475 - protection.trailing_stop - INFO - ✅ CARVUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.14840000, current_stop=0.15096000, update_count=0
262721:2025-10-23 18:54:24,476 - protection.trailing_stop - INFO - ✅ KASUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.05107000, current_stop=0.05194860, update_count=0
262723:2025-10-23 18:54:24,476 - protection.trailing_stop - INFO - ✅ OGUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=17.90700000, current_stop=18.14988000, update_count=0
262725:2025-10-23 18:54:24,477 - protection.trailing_stop - INFO - ✅ TWTUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=1.22380000, current_stop=1.24817400, update_count=0
262727:2025-10-23 18:54:24,478 - protection.trailing_stop - INFO - ✅ ZKJUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.07220000, current_stop=0.07354200, update_count=0
262729:2025-10-23 18:54:24,478 - protection.trailing_stop - INFO - ✅ VELODROMEUSDT: TS state RESTORED from DB - state=active, activated=True, highest_price=999999.00000000, lowest_price=N/A, current_stop=994999.00500000, update_count=0
262731:2025-10-23 18:54:24,478 - protection.trailing_stop - INFO - ✅ VIRTUALUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.75950000, current_stop=0.77163000, update_count=0
262733:2025-10-23 18:54:24,479 - protection.trailing_stop - INFO - ✅ HEMIUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.05620000, current_stop=0.05710572, update_count=0
262735:2025-10-23 18:54:24,479 - protection.trailing_stop - INFO - ✅ IOTXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.01161000, current_stop=0.01184220, update_count=0
262737:2025-10-23 18:54:24,480 - protection.trailing_stop - INFO - ✅ RSRUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.00547300, current_stop=0.00558042, update_count=0
262739:2025-10-23 18:54:24,480 - protection.trailing_stop - INFO - ✅ LINKUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=17.25700000, current_stop=17.53482000, update_count=0
262741:2025-10-23 18:54:24,481 - protection.trailing_stop - INFO - ✅ TRXUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=0.32168000, current_stop=0.32765460, update_count=0
262743:2025-10-23 18:54:24,481 - protection.trailing_stop - INFO - ✅ TONUSDT: TS state RESTORED from DB - state=inactive, activated=False, highest_price=N/A, lowest_price=2.10960000, current_stop=2.15179200, update_count=0
