pair,direction,datetime,price,price_5min_before,price_change_5min_percent,open_interest_usdt,volume_1h_usdt,high_1h,low_1h,profit_1h_percent,exchange
GUNUSDT,SELL,2025-10-27 04:45:00,$0.02056000,$0.02053000,+0.15%,"$1,402,275.40","$166,040.65",$0.02057000,$0.02024000,+1.56%,BINANCE
SKYAIUSDT,SELL,2025-10-27 04:30:00,$0.02456000,$0.02458000,-0.08%,"$2,373,077.19","$135,392.29",$0.02466000,$0.02428000,+1.14%,BINANCE
LUMIAUSDT,BUY,2025-10-27 04:30:00,$0.14470000,$0.14540000,-0.48%,"$1,198,807.80","$121,579.34",$0.14660000,$0.14390000,+1.31%,BINANCE
RADUSDT,BUY,2025-10-27 04:15:00,$0.51680000,$0.51800000,-0.23%,"$313,212.32","$3,478.79",$0.51900000,$0.51560000,+0.43%,BYBIT
LUMIAUSDT,BUY,2025-10-27 04:00:00,$0.14470000,$0.14470000,+0.00%,"$1,199,868.71","$121,579.34",$0.14660000,$0.14390000,+1.31%,BINANCE
MELANIAUSDT,BUY,2025-10-27 03:45:00,$0.10070000,$0.10050000,+0.20%,"$6,512,918.54","$346,992.35",$0.10100000,$0.10020000,+0.30%,BINANCE
GIGAUSDT,BUY,2025-10-26 23:30:00,$0.00685200,$0.00686500,-0.19%,"$659,286.54","$21,171.45",$0.00691100,$0.00680300,+0.86%,BYBIT
PYRUSDT,BUY,2025-10-26 23:00:00,$0.68680000,$0.68450000,+0.34%,"$162,975.55","$34,038.98",$0.69400000,$0.68120000,+1.05%,BYBIT
GIGAUSDT,BUY,2025-10-26 22:45:00,$0.00686100,$0.00683700,+0.35%,"$659,079.96","$112,358.51",$0.00691000,$0.00667400,+0.71%,BYBIT
VVVUSDT,BUY,2025-10-26 22:15:00,$1.74200000,$1.74300000,-0.06%,"$1,998,525.38","$551,314.91",$1.77300000,$1.71600000,+1.78%,BINANCE
1000TAGUSDT,BUY,2025-10-26 22:00:00,$0.44530000,$0.44470000,+0.13%,"$331,806.79","$6,489.60",$0.45400000,$0.44020000,+1.95%,BYBIT
10000ELONUSDT,BUY,2025-10-26 22:00:00,$0.00078700,$0.00078250,+0.58%,"$138,988.10","$11,745.16",$0.00079930,$0.00078550,+1.56%,BYBIT
ALLUSDT,BUY,2025-10-26 22:00:00,$0.93050000,$0.92800000,+0.27%,"$1,629,379.56","$255,140.02",$0.94540000,$0.92870000,+1.60%,BINANCE
